module	scene	outcome	exception
_2020/hamming.py	Thumbnail	ok	
_2020/hamming.py	Thumbnail2	ok	
_2020/hamming.py	TimeLine	capability_refusal	NotImplementedError
_2020/hamming.py	TooManyErrorsTripUpHamming	missing_asset	OSError
_2020/hamming.py	TripleRedundancy	missing_asset	OSError
_2020/hamming.py	TwentyQuestions	missing_asset	OSError
_2020/hamming.py	TwoErrorGrids	ok	
_2020/hamming.py	WellAlmost	missing_asset	OSError
_2020/hamming.py	WhatAboutTwoBitDetection	missing_asset	OSError
_2020/hamming.py	WhatAboutTwoErrors	missing_asset	OSError
_2020/hamming.py	WhatCDsActuallyUse	ok	
_2020/hamming.py	WhatIfTheresAndArrowInECCBits	missing_asset	OSError
_2020/hamming.py	WhyPointToError	scene_code_error	TypeError
_2020/ldm.py	ComplexExponentialPlay	scene_code_error	TypeError
_2020/ldm.py	ComplexMultiplication	scene_code_error	AttributeError
_2020/ldm.py	ComplexNumberPreview	scene_code_error	AttributeError
_2020/ldm.py	CosGraphs	scene_code_error	TypeError
_2020/ldm.py	CosSquare	scene_code_error	TypeError
_2020/ldm.py	CosWave	scene_code_error	TypeError
_2020/ldm.py	EtoILimit	ok	
_2020/ldm.py	EulersFormula	ok	
_2020/ldm.py	ExpMeaning	scene_code_error	TypeError
_2020/ldm.py	ExpMeaningWithoutCircle	scene_code_error	TypeError
_2020/ldm.py	HarmonicSum	scene_code_error	TypeError
_2020/ldm.py	ImaginaryInterestRates	scene_code_error	TypeError
_2020/ldm.py	ItoTheI	ok	
_2020/ldm.py	LnX	ok	
_2020/ldm.py	Logs	ok	
_2020/ldm.py	OldStreamIntro	missing_asset	OSError
_2020/ldm.py	PositionAndVelocityExample	ok	
_2020/ldm.py	PowerTower	ok	
_2020/ldm.py	ProbDiagram	ok	
_2020/ldm.py	QuadraticFormula	missing_asset	OSError
_2020/ldm.py	RotatePiCreature	missing_asset	OSError
_2020/ldm.py	SimplerQuadratic	ok	
_2020/ldm.py	SineWave	scene_code_error	TypeError
_2020/ldm.py	StreamIntro	scene_code_error	TypeError
_2020/med_test.py	AccuracyImage	ok	
_2020/med_test.py	AltShowUpdatingPrior	missing_asset	OSError
_2020/med_test.py	AskAboutHowItsSoLow	missing_asset	OSError
_2020/med_test.py	AskIfItsAParadox	missing_asset	OSError
_2020/med_test.py	AskWhatTheParadoxIs	missing_asset	OSError
_2020/med_test.py	AskWhyItWorks	missing_asset	OSError
_2020/med_test.py	BayesFactor	missing_asset	OSError
_2020/med_test.py	BayesFactorForCovidExample	missing_asset	OSError
_2020/med_test.py	BayesTheorem	missing_asset	OSError
_2020/med_test.py	CompressedBayesFactorSteps	ok	
_2020/med_test.py	ConfusedByFPR	missing_asset	OSError
_2020/med_test.py	ContrastTextbookAndRealWorld	ok	
_2020/med_test.py	ContrastTwoFormulas	scene_code_error	TypeError
_2020/med_test.py	DisambiguateFPR	missing_asset	OSError
_2020/med_test.py	FailedPromises	missing_asset	OSError
_2020/med_test.py	GigerenzerSession	missing_asset	OSError
_2020/med_test.py	GoalsOfEstimation	missing_asset	OSError
_2020/med_test.py	HighlightBayesFactorOverlay	ok	
_2020/med_test.py	HowDoesUpdatingWork	missing_asset	OSError
_2020/med_test.py	LearnAboutPositiveResult	missing_asset	OSError
_2020/med_test.py	LookOverTweet	missing_asset	OSError
