# fmn API schema — the EXTRACTED layer (fm-vn6, plan §16.2)
# generated from 3b1b/manim @ 6199a00d4c1b1127ebe45cb629c3f22538b10e13
# by scripts/gen_api_schema.py — regenerate, never hand-edit
#
# The authored layer (canonical names for C-9 typos, semantic status,
# Rust bindings) lives in API_OVERLAY.tsv. The effective schema is the
# two merged; fmn_conformance::schema is the reader, and every
# generator consumes the merged form.
#
# Section-tagged, tab-separated, std-parseable — no TOML/YAML/JSON
# dependency anywhere in the reader (the SUITE.lock doctrine).

[meta]
schema_version	1
reference_commit	6199a00d4c1b1127ebe45cb629c3f22538b10e13
generator	scripts/gen_api_schema.py
wildcard_exports	663

[symbols]
# module	name	kind	origin	exported	detail
manimlib.camera.camera_frame	CameraFrame.get_view_matrix	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_width	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.increment_euler_angles	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.increment_gamma	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.increment_phi	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.increment_theta	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.interpolate	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.make_orientation_default	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.reorient	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.rotate	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.set_euler_angles	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.set_euler_axes	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.set_field_of_view	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.set_focal_distance	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.set_gamma	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.set_orientation	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.set_phi	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.set_theta	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.to_default_state	method	defined	0	-
